mal_id,url,titles,favorites,established,about,count,images.jpg.image_url
1,https://myanimelist.net/anime/producer/1/Pierrot,"[{'type': 'Default', 'title': 'Pierrot'}, {'type': 'Japanese', 'title': 'ぴえろ'}, {'type': 'Synonym', 'title': 'Studio Pierrot'}]",5020,1979-05-01T00:00:00+00:00,"Pierrot ぴえろ (Pierrot Co., Ltd.) is a Japanese animation studio established in May 1979 by former employees of both Tatsunoko Production and Mushi Production. Its headquarters are located in Mitaka, Tokyo. Pierrot is renowned for several worldwide popular anime series, such as Naruto, Bleach, Yu Yu Hakusho, Black Clover, Boruto: Naruto Next Generations, Tokyo Ghoul, and Great Teacher Onizuka.",314,https://cdn.myanimelist.net/images/company_no_picture.png
2,https://myanimelist.net/anime/producer/2/Kyoto_Animation,"[{'type': 'Default', 'title': 'Kyoto Animation'}, {'type': 'Japanese', 'title': '京都アニメーション'}, {'type': 'Synonym', 'title': 'KyoAni'}]",31097,1985-07-12T00:00:00+00:00,"Kyoto Animation (Kyoto Animation Co., Ltd.) (often abbreviated KyoAni) is a Japanese animation studio based in Uji, Kyoto Prefecture. Youko Hatta (born Youko Sugiyama), who had previously studied under Osamu Tezuka as an artist at Mushi Production, founded the company with her husband, Hideaki Hatta, in 1981. Kyoto Animation spent its early years doing finishing work for other companies' productions, but opened its own drawing department in 1986, the year following its establishment as a limited company. 

By the mid-90s, the company had developed a strong reputation in the industry, as well as ties to studios such as Gonzo, Shin-Ei Animation, and Sunrise. Kyoto Animation released its first full in-house production—the first Munto OVA—in March 2003, and its first television anime, Full Metal Panic? Fumoffu, in the summer of the same year. 

The company gained worldwide attention on July 18, 2019 when an arson attack destroyed its original studio (known as Studio 1) in Fushimi, claiming the lives of 36 people.",130,https://cdn.myanimelist.net/s/common/company_logos/b066ff17-81d3-40db-b1f2-2927de70c0e3_600x600_i?s=edb149cf051e2d7984975063a1b3b3a7
3,https://myanimelist.net/anime/producer/3/Gonzo,"[{'type': 'Default', 'title': 'Gonzo'}, {'type': 'Japanese', 'title': 'ゴンゾ'}]",923,2000-02-29T00:00:00+00:00,,143,https://cdn.myanimelist.net/s/common/company_logos/8d25fb54-5111-4174-9bee-46298c25adbd_600x600_i?s=1adca46b4f789fd450089b1912573235
4,https://myanimelist.net/anime/producer/4/Bones,"[{'type': 'Default', 'title': 'Bones'}, {'type': 'Japanese', 'title': 'ボンズ'}]",18194,1998-10-01T00:00:00+00:00,"Bones (Bones Inc.) is a Japanese animation studio based in Suginami, Tokyo. The studio was founded by previous Sunrise producer Masahiko Minami and animators Hiroshi Ousaka and Toshihiro Kawamoto in 1998. Following Sunrise's production model, Bones' founders divided the company into five smaller studios, Studio A-E. 

Studio Bones has put out a variety of television and film since its debut project of Hiwou War Chronicles in 2000, including popular anime such as Ouran Koukou Host Club (Ouran High School Host Club), Hagane no Renkinjutsushi: Fullmetal Alchemist (Fullmetal Alchemist: Brotherhood), Boku no Hero Academia (My Hero Academia), and Bungou Stray Dogs",160,https://cdn.myanimelist.net/s/common/company_logos/969047f0-a8ec-475e-ad0d-6e0d5cd8e17f_600x600_i?s=4145bdb95a29f3fe1447baa8045a7420
5,https://myanimelist.net/anime/producer/5/Bee_Train,"[{'type': 'Default', 'title': 'Bee Train'}, {'type': 'Japanese', 'title': 'ビィートレイン'}]",113,1997-06-05T00:00:00+00:00,,34,https://cdn.myanimelist.net/s/common/company_logos/3c2828f1-29bc-4688-9f54-cdb423d3c2c8_600x600_i?s=8d8b84eaf7ba0b22c5f3c8521825c424
6,https://myanimelist.net/anime/producer/6/Gainax,"[{'type': 'Default', 'title': 'Gainax'}, {'type': 'Japanese', 'title': 'ガイナックス'}]",5802,1984-12-24T00:00:00+00:00,,83,https://cdn.myanimelist.net/s/common/company_logos/7bba2118-127e-47a3-855f-0b284689f3da_600x600_i?s=c62c0bef4c82c81b750746955a423f64
7,https://myanimelist.net/anime/producer/7/JCStaff,"[{'type': 'Default', 'title': 'J.C.Staff'}, {'type': 'Japanese', 'title': 'ジェー・シー・スタッフ'}]",4683,1986-01-18T00:00:00+00:00,"J.C.Staff (J.C.STAFF Co., Ltd.) is a Japanese animation studio based in Musashino, Tokyo, and a member of The Association of Japanese Animations. Former Tatsunoko Production producer Tomoyuki Miyata founded the studio in January 1986, which specialized in Original Video Animation (OVA) in its early years. J.C.Staff made the move to television with the release of Metal Fighter Miku in the summer of 1994. It has since independently produced or contributed to over 200 animated works.",432,https://cdn.myanimelist.net/s/common/company_logos/076ec06c-a090-41b5-971e-2fc2ae446f5e_600x600_i?s=5872ea7d2c75469d2d296574a5c8c1fb
8,https://myanimelist.net/anime/producer/8/Artland,"[{'type': 'Default', 'title': 'Artland'}, {'type': 'Japanese', 'title': 'アートランド'}]",249,2010-12-01T00:00:00+00:00,,53,https://cdn.myanimelist.net/s/common/company_logos/8ff6ea00-3e10-436d-b22f-1c2773a9a335_600x600_i?s=61182d7c7bdf74299dc97a0282aee50a
10,https://myanimelist.net/anime/producer/10/Production_IG,"[{'type': 'Default', 'title': 'Production I.G'}, {'type': 'Japanese', 'title': 'プロダクション・アイジー'}]",7901,1987-12-15T00:00:00+00:00,,446,https://cdn.myanimelist.net/s/common/company_logos/5b86997d-226e-4870-ae60-e353a78178a0_600x600_i?s=0db04e298454b4278acfb8a2c60c7001
11,https://myanimelist.net/anime/producer/11/Madhouse,"[{'type': 'Default', 'title': 'Madhouse'}, {'type': 'Japanese', 'title': 'マッドハウス'}]",28802,1972-10-17T00:00:00+00:00,"Madhouse (MADHOUSE Inc.) is a Japanese animation studio based in Nakano City, Tokyo. Ex-Mushi Production animators—including Masao Maruyama, Osamu Dezaki, Rintarou, and Yoshiaki Kawajiri—are often credited with founding the company in 1972, though Rintarou would not join the studio until 1982. Madhouse primarily did contract work for other studios until the 1990s, when it achieved success independently. Television adaptations of Trigun and Clamp's Cardcaptor Sakura in 1998 were hits domestically and later aired overseas, and the same year director Satoshi Kon's Perfect Blue was released as his first of four critically-acclaimed films with the company. 

Madhouse remained successful throughout the 2000s and 2010s, adding director Mamoru Hosoda to its roster and releasing numerous popular television anime, including adaptations of Hajime no Ippo, Death Note, and One Punch Man. Maruyama stepped down from his role as president and left the company in June 2011 to start studio MAPPA.",387,https://cdn.myanimelist.net/s/common/company_logos/e68488ab-f0a0-411f-850a-18fb3e21b96c_600x600_i?s=21618c9c3183ffded748d303a253b637
